-0.66061,1.1868,-145.4,0.005236,0.47037,-0.00087266
-0.66078,1.1875,-145.4,0.0066323,0.51243,-0.00034907
-0.66165,1.188,-145.41,0.012392,0.59254,-0.00034907
-0.65956,1.1891,-145.42,0.01309,0.63094,0.00034907
-0.65991,1.1894,-145.43,0.012217,0.66776,0.00069813
-0.66131,1.1894,-145.43,0.0083776,0.73583,0.002618
-0.66427,1.1896,-145.44,0.007854,0.76777,0.0031416
-0.66514,1.19,-145.45,0.0055851,0.82903,0.0045379
-0.66672,1.1907,-145.46,0.0048869,0.85765,0.0048869
-0.66602,1.1912,-145.47,0.005236,0.88506,0.0050615
-0.66672,1.1914,-145.47,0.0071558,0.93619,0.0047124
-0.66689,1.1915,-145.48,0.0073304,0.95993,0.0041888
-0.66689,1.1915,-145.49,0.007854,1.0048,0.0041888
-0.66514,1.1922,-145.5,0.0087266,1.0254,0.0040143
-0.6634,1.1924,-145.51,0.010297,1.0453,0.0040143
-0.66131,1.1926,-145.52,0.013963,1.083,0.0033161
-0.66026,1.1922,-145.52,0.013265,1.101,0.0029671
-0.65904,1.1919,-145.53,0.013439,1.1182,0.0019199
-0.65834,1.1914,-145.54,0.019199,1.1502,0.00069813
-0.65397,1.1929,-145.55,0.020769,1.1655,-0.00034907
-0.65048,1.1935,-145.56,0.024784,1.1924,-0.0012217
-0.64403,1.1942,-145.57,0.028623,1.2043,-0.00034907
-0.63722,1.1952,-145.59,0.036128,1.213,0.0027925
-0.6367,1.1952,-145.61,0.053756,1.2306,0.0097738
-0.62186,1.1936,-145.64,0.060039,1.238,0.013614
-0.61959,1.1905,-145.66,0.067719,1.2573,0.022689
-0.6168,1.1882,-145.69,0.072606,1.2648,0.0281
-0.62343,1.1812,-145.72,0.079762,1.2736,0.033336
-0.66288,1.1774,-145.75,0.091804,1.2854,0.047298
-0.66375,1.1779,-145.78,0.099658,1.2921,0.053931
-0.63338,1.1627,-145.82,0.10856,1.3006,0.055152
-0.65014,1.1521,-145.86,0.12339,1.3085,0.064403
-0.64961,1.1385,-145.91,0.13491,1.309,0.073304
-0.62046,1.1142,-145.97,0.16109,1.3038,0.090757
-0.6072,1.0788,-146.03,0.17034,1.302,0.096691
-0.60877,1.0371,-146.08,0.17296,1.3041,0.099484
-0.60214,0.99082,-146.13,0.16581,1.3109,0.099135
-0.59725,0.93969,-146.17,0.15795,1.3156,0.097738
-0.60039,0.88785,-146.21,0.14085,1.3207,0.095295
-0.58224,0.83706,-146.24,0.13893,1.3251,0.092502
-0.58102,0.78767,-146.27,0.13718,1.3292,0.090932
-0.5688,0.73548,-146.3,0.12723,1.3383,0.085347
-0.54856,0.67736,-146.34,0.12444,1.3443,0.079936
-0.53215,0.61767,-146.36,0.12025,1.3509,0.07278
-0.51016,0.55816,-146.39,0.10402,1.3661,0.060912
-0.48136,0.49916,-146.41,0.097389,1.3722,0.055152
-0.47839,0.44872,-146.43,0.093201,1.3833,0.045553
-0.48852,0.40439,-146.45,0.097389,1.3882,0.04119
-0.51557,0.36896,-146.48,0.10891,1.3943,0.037874
-0.54559,0.34156,-146.51,0.14416,1.4106,0.031241
-0.57945,0.32132,-146.54,0.16336,1.4174,0.030194
