-18.25,69.75,200.98,-2.78,24.45,0.12
-18.31,69.75,200.9,-3.1,26.67,0.12
-18.31,69.77,200.82,-3.47,30.87,0.07
-18.21,69.8,200.72,-3.79,32.76,0.15
-18.3,69.78,200.74,-4.28,34.55,0.24
-18.46,69.72,200.81,-4.81,38.12,0.5
-18.46,69.69,200.83,-4.96,39.76,0.65
-18.49,69.63,200.84,-5.56,42.74,0.88
-18.62,69.55,200.9,-5.86,44.18,0.97
-18.69,69.47,200.89,-5.94,45.64,1.04
-18.62,69.47,200.84,-6.05,48.31,1.16
-18.55,69.48,200.8,-6.18,49.56,1.22
-18.58,69.5,200.81,-6.32,50.72,1.29
-18.57,69.49,200.84,-6.57,52.95,1.45
-18.62,69.46,200.86,-6.66,54.02,1.53
-18.59,69.44,200.86,-6.78,56.06,1.78
-18.64,69.44,200.88,-6.93,57.06,1.98
-18.71,69.44,200.94,-6.97,58.06,2.26
-19.05,69.38,201.1,-6.97,60.12,3.14
-19.9,69.27,201.46,-7,61.35,3.79
-21.95,68.86,201.96,-7.45,62.63,4.51
-24.48,68.1,202.52,-8.71,65.3,6.02
-25.35,67.59,203.12,-9.51,66.28,6.81
-25.77,67.23,203.64,-8.7,67.54,8.23
-26.24,67.03,204.14,-8.5,68.1,8.83
-26.62,66.85,204.48,-8.39,68.64,9.45
-26.66,66.9,204.75,-7.52,69.61,10.67
-26.55,67,205.02,-7.01,70.05,11.27
-26.25,67.2,205.29,-6.05,70.82,12.44
-25.85,67.5,205.68,-5.83,71.11,12.85
-26.05,67.73,206.21,-5.58,71.38,13.37
-25.63,68.1,206.65,-4.93,71.84,14.4
-24.93,68.55,206.98,-4.33,72.05,15
-23.97,69.08,207.32,-3.77,72.21,15.55
-23.11,69.64,207.62,-2.82,72.48,16.4
-22.16,70.26,207.8,-2.41,72.58,16.79
-21.24,70.9,207.96,-1.51,72.63,17.5
-20.15,71.55,208.09,-1.08,72.6,17.85
-19.21,72.12,208.2,-0.79,72.52,18.22
-18.41,72.56,208.22,-0.12,72.49,18.95
-17.61,73,208.21,0.24,72.45,19.23
-16.77,73.43,208.23,0.75,72.49,19.54
-15.67,73.84,208.3,1.66,72.48,20.25
-14.76,74.33,208.46,2.06,72.47,20.58
-13.92,74.74,208.64,3,72.34,21.33
-13.05,75.07,208.7,3.18,72.35,21.79
-12.56,75.28,208.76,3.4,72.13,22.17
-11.65,75.53,208.87,4.42,71.93,22.96
-10.98,75.82,208.89,4.99,71.88,23.26
-10.06,76.14,208.97,5.68,71.81,23.59
-9.37,76.48,209.03,6.65,71.91,24.32
-8.57,76.83,209.19,7.46,71.84,24.65
-6.9,77.44,209.24,10.3,71.96,25.43
-5.59,78.03,209.27,10.68,72.04,25.8
-4.63,78.38,209.46,10.86,71.96,26.23
-4.16,78.57,209.71,11.03,71.75,27.2
-3.76,78.69,209.98,11.16,71.62,27.65
-3.48,78.76,210.19,11.17,71.48,28.05
-3.25,78.82,210.36,11.11,71.13,28.74
-3.01,78.87,210.48,11.18,70.97,29.03
-2.75,78.98,210.6,11.46,70.65,29.5
-2.35,79.1,210.71,11.54,70.53,29.8
-1.97,79.15,210.83,11.47,70.35,30.13
-1.77,79.2,211.02,10.94,70.09,30.72
-1.71,79.16,211.17,11.1,70.09,31.18
-1.03,79.04,211.31,11.52,70.16,31.64
-0.2,78.97,211.55,12.09,70.55,32.7
-0.07,78.99,212.02,12.33,70.54,33.26
0.38,78.99,212.47,12.66,70.31,34.32
1.05,79.19,212.85,12.54,70.09,34.66
1.03,79.27,213.13,12.53,69.87,34.9
1.36,79.3,213.36,12.71,69.15,35.08
1.75,79.35,213.52,12.73,68.72,35.14
2.02,79.28,213.67,12.73,68.22,35.18
2.35,79.14,213.77,13,67.34,35.37
2.72,78.92,213.81,13.08,66.95,35.47
2.99,78.7,213.87,13.2,66.33,35.8
3.28,78.46,213.95,13.34,66.05,36
3.86,78.25,214.05,13.63,65.6,36.31
4.56,77.98,214.25,13.68,64.67,36.98
4.79,77.62,214.47,13.82,64.22,37.36
5.16,77.34,214.66,14,63.88,37.72
5.45,77.08,214.79,14.53,63.39,38.39
5.56,76.77,214.88,14.81,63.22,38.71
5.78,76.44,215,15.27,62.98,39.25
6.03,76.2,215.17,15.44,62.87,39.5
6.14,75.96,215.36,15.48,62.72,39.72
6.65,75.82,215.49,15.96,62.49,40.05
6.8,75.7,215.51,16.08,62.46,40.2
7.2,75.49,215.61,16.21,62.37,40.38
7.4,75.17,215.75,16.34,62.1,40.92
7.7,74.82,215.94,16.5,61.93,41.26
7.91,74.45,216.13,16.87,61.5,41.96
8.22,74.09,216.29,17.03,61.23,42.28
8.55,73.83,216.41,17.26,61.03,42.5
8.8,73.69,216.47,17.73,60.83,42.69
8.99,73.59,216.41,17.9,60.76,42.77
9.44,73.32,216.42,18.35,60.45,43.1
9.79,73.03,216.5,18.66,60.28,43.34
10.2,72.74,216.58,18.98,60.11,43.62
10.56,72.47,216.67,19.42,59.77,44.23
10.97,72.24,216.83,19.7,59.55,44.54
11.24,71.93,216.94,19.96,59.37,44.86
11.64,71.67,217,20.53,59.03,45.44
11.95,71.45,217.14,20.72,58.85,45.7
12.12,71.23,217.25,20.4,58.78,46.33
11.93,70.92,217.46,20.2,58.57,46.55
11.87,70.67,217.64,20.06,58.39,46.65
11.73,70.64,217.65,20.04,58.1,46.48
11.91,70.68,217.51,19.93,58,46.24
11.82,70.72,217.32,19.78,57.91,45.96
11.87,70.73,217.11,19.79,57.69,45.29
12.19,70.73,216.98,19.63,57.45,45.01
12.12,70.89,216.79,19.02,57.07,44.22
12.15,70.98,216.44,18.74,56.97,43.7
12.11,71.19,216.01,18.46,56.82,43.04
12.11,71.47,215.58,17.79,56.79,41.76
11.87,71.8,215.18,17.31,56.82,41.13
11.69,72.11,214.76,17.05,56.92,40.56
11.65,72.45,214.4,16.33,57.32,39.47
11.59,72.89,214.1,16.05,57.51,39
11.47,73.29,213.8,15.19,58.04,38.02
11.3,73.68,213.54,14.84,58.31,37.49
10.44,74.04,213.19,14.25,58.86,37.06
9.56,74.24,213.06,13.67,59.33,36.29
9.48,74.61,212.89,13.34,59.64,36.01
9.19,75.1,212.7,12.95,59.99,35.67
9.03,75.62,212.53,12.3,60.51,34.95
8.73,76.17,212.21,11.98,60.89,34.55
8.33,76.61,211.94,11.35,61.48,33.81
8.05,77,211.61,10.95,61.82,33.49
7.75,77.33,211.37,10.63,62.12,33.2
7.6,77.7,211.15,10.47,62.75,32.67
7.5,78.11,210.97,10.31,63.14,32.41
7.37,78.47,210.85,10.24,63.54,32.21
7.33,78.83,210.73,10.02,64.28,31.84
7.26,79.34,210.63,9.88,64.66,31.66
7.08,79.76,210.55,9.5,65.42,31.3
6.93,80.26,210.44,9.4,65.81,31.11
6.91,80.76,210.3,9.43,66.26,30.85
7.43,81.36,210.12,9.93,67.17,30.23
6.79,81.95,209.93,9.41,67.51,29.91
6.69,82.31,209.81,9.04,67.78,29.69
6.53,82.72,209.66,8.56,68.37,29.27
6.29,83.1,209.49,8.25,68.59,29.01
5.98,83.28,209.38,7.87,69.01,28.6
5.61,83.56,209.2,7.58,69.23,28.39
5.41,83.62,209.09,7.24,69.41,28.25
5.17,83.76,208.96,6.76,69.8,28.06
4.98,83.83,208.86,6.36,69.92,27.99
4.71,83.85,208.77,6.02,70.1,27.92
