-3.24,77.68,266.55,-2.07,-20.36,0.02
-3.26,77.65,266.59,-2.57,-25.21,-0.02
-3.29,77.66,266.64,-2.95,-29.72,0
-3.37,77.66,266.72,-3.32,-33.79,0.01
-3.39,77.63,266.76,-3.73,-37.55,-0.03
-3.43,77.61,266.81,-4.02,-41.04,-0.04
-3.45,77.58,266.87,-4.45,-45.73,-0.03
-3.43,77.55,266.93,-4.8,-48.54,0
-3.39,77.51,267,-5.01,-51.16,0.04
-3.39,77.49,267.07,-5.33,-53.51,0.05
-3.37,77.45,267.12,-5.54,-55.79,0.04
-3.43,77.44,267.18,-5.67,-57.84,0.06
-3.47,77.41,267.22,-5.88,-59.71,0.06
-3.55,77.43,267.28,-6.02,-62.28,0.07
-3.62,77.42,267.32,-6.12,-63.81,0.09
-3.74,77.38,267.38,-6.17,-65.25,0.15
-4.15,77.34,267.46,-6.22,-66.63,0.21
-5.21,77.3,267.57,-6.15,-68.01,0.3
-6.74,77.26,267.72,-5.95,-69.35,0.36
-7.75,77.32,267.9,-5.43,-71.11,0.39
-8.27,77.31,267.89,-5.3,-72.3,0.22
-10.17,77.38,267.87,-4.8,-73.82,-0.09
-12.07,77.56,267.74,-4.13,-75.25,-0.47
-13.51,77.81,267.58,-3.77,-76.65,-1.06
-14.17,78.13,267.41,-3.44,-78.01,-1.75
-14.33,78.44,267.24,-3.06,-79.11,-2.4
-14.5,78.66,267.05,-2.8,-80.48,-3.28
-14.14,78.76,266.92,-3.15,-81.41,-4.02
-14.74,78.83,266.8,-2.85,-82.37,-4.59
-14.69,78.78,266.7,-2.22,-83.09,-5
-14.82,78.69,266.57,-2.09,-83.68,-5.46
-14.87,78.55,266.44,-1.75,-84.27,-5.93
-15.1,78.39,266.37,-0.91,-84.94,-6.59
-15.06,78.19,266.29,-0.6,-85.29,-7.08
-14.94,77.99,266.24,-0.13,-85.6,-7.57
-14.96,77.79,266.22,0.33,-85.98,-8.15
-14.74,77.63,266.21,0.67,-86.37,-8.86
-14.48,77.52,266.22,0.56,-86.72,-9.71
-14.24,77.53,266.22,0.91,-87.04,-11.06
-13.97,77.43,266.2,1.14,-87.13,-11.95
-13.54,77.31,266.15,1.25,-87.08,-12.86
-13.11,77.13,266.11,1.29,-86.92,-13.83
-12.68,76.82,266.07,1.62,-86.59,-14.7
-12.26,76.49,266.03,1.99,-86.2,-15.53
-11.91,76.13,266.02,2.3,-85.75,-16.4
-11.63,75.69,266.01,3.21,-85.02,-17.56
-11.52,75.2,265.97,4.14,-84.54,-18.31
-11.4,74.7,265.95,4.82,-84,-19.03
-11.22,74.19,265.92,5.35,-83.34,-19.82
-10.91,73.64,265.85,5.94,-82.63,-20.65
-10.51,73.13,265.77,6.48,-81.96,-21.59
-10.16,72.6,265.71,7.35,-80.9,-23.08
-9.72,72.14,265.68,8.01,-80.17,-24.12
-9.4,71.69,265.63,8.64,-79.4,-25.11
-9.21,71.15,265.6,9.48,-78.62,-26.01
-9.1,70.49,265.57,10.43,-77.74,-26.75
-8.9,69.69,265.57,11.24,-76.79,-27.45
-9.04,68.84,265.54,12.1,-75.82,-28.07
-8.85,67.98,265.49,13.16,-74.35,-28.99
-8.46,67.19,265.43,13.58,-73.38,-29.74
-8.28,66.38,265.38,14.28,-72.45,-30.49
-8.27,65.61,265.3,15.15,-71.64,-31.31
-8.17,64.9,265.24,15.87,-70.84,-32.21
-8,64.23,265.18,16.6,-70,-33.18
-7.58,63.57,265.13,17.13,-69.09,-34.13
-7.13,62.87,265.09,17.81,-67.63,-35.59
-6.9,62.09,265.07,18.53,-66.64,-36.52
-6.68,61.34,265.04,19.32,-65.63,-37.33
-6.47,60.57,265,19.88,-64.74,-38.25
-6.33,59.69,264.96,20.57,-63.82,-39.11
-6.24,58.87,264.96,21.56,-62.89,-39.88
-6.11,58.03,264.97,22.24,-62.01,-40.62
-5.79,57.2,265,23.3,-60.56,-41.55
-5.62,56.24,265.04,24.06,-59.53,-42
-5.52,55.16,265.07,25.07,-58.41,-42.44
-5.49,54.08,265.12,26.09,-57.37,-42.92
-5.38,53.05,265.17,26.89,-56.35,-43.45
-5.11,52.1,265.23,27.49,-55.42,-44.07
-4.85,51.23,265.31,27.89,-54.61,-44.81
-4.61,50.49,265.4,28.67,-53.61,-46.04
-4.35,49.84,265.49,29.13,-53.05,-46.94
-4.03,49.2,265.6,29.58,-52.43,-47.88
-4.02,48.46,265.73,30.41,-51.72,-48.78
-4.04,47.66,265.87,31.37,-50.87,-49.59
-4.31,46.8,265.99,32.15,-50,-50.39
-4,45.9,266.01,33.03,-48.53,-51.46
-3.65,45.01,266.05,33.5,-47.56,-52.21
-3.28,44.14,266.09,33.94,-46.63,-52.9
-2.9,43.24,266.14,34.23,-45.76,-53.59
-2.59,42.29,266.21,34.75,-44.81,-54.18
-2.33,41.29,266.29,35.18,-43.81,-54.69
-2.09,40.21,266.35,35.46,-42.82,-55.18
-1.86,39.07,266.41,35.99,-41.27,-55.66
-1.6,37.91,266.47,36.3,-40.27,-55.89
-1.45,36.71,266.53,36.58,-39.3,-56.06
-1.25,35.56,266.6,36.82,-38.38,-56.24
-1,34.45,266.68,37.11,-37.52,-56.45
-0.78,33.4,266.74,37.35,-36.69,-56.7
-0.46,32.39,266.78,37.59,-35.84,-56.96
0.1,31.36,266.82,37.71,-34.39,-57.6
0.32,30.41,266.83,37.82,-33.49,-58.11
0.48,29.49,266.82,38.22,-32.76,-58.61
0.48,28.64,266.81,38.8,-32.14,-59.05
0.48,27.84,266.79,39.18,-31.64,-59.53
0.5,27.1,266.79,39.55,-31.12,-60.01
0.63,26.39,266.82,39.77,-30.42,-60.82
0.79,25.66,266.91,39.97,-29.99,-61.31
0.9,24.88,267.02,40.28,-29.51,-61.68
0.83,24.08,267.12,40.6,-29.06,-61.96
0.91,23.23,267.24,40.74,-28.61,-62.24
0.88,22.39,267.35,40.98,-28.13,-62.48
0.92,21.54,267.41,41.23,-27.63,-62.6
1.03,20.6,267.48,41.37,-26.6,-62.64
1.08,19.55,267.56,41.29,-25.82,-62.55
1.14,18.42,267.63,41.12,-24.98,-62.38
1.1,17.28,267.7,40.93,-24.13,-62.13
1.2,16.15,267.75,40.81,-23.33,-61.79
1.24,15.04,267.83,40.64,-22.58,-61.4
1.21,13.96,267.85,40.47,-21.97,-60.92
1.01,12.87,267.9,40.49,-21.15,-60.01
1.22,11.84,267.94,40.2,-20.73,-59.54
1.16,11.01,267.99,40.21,-20.46,-59.11
1.14,10.32,268.03,40.35,-20.29,-58.7
1.15,9.7,268.09,40.32,-20.23,-58.34
1.19,9.14,268.18,40.27,-20.21,-58
1.22,8.62,268.28,40.33,-20.22,-57.61
1.2,8.11,268.38,40.32,-20.21,-56.97
1.27,7.59,268.46,40.26,-20.2,-56.49
1.29,7.09,268.53,40.14,-20.21,-55.98
1.34,6.59,268.6,39.85,-20.19,-55.47
1.51,6.09,268.7,39.62,-20.16,-54.97
1.56,5.71,268.77,39.44,-20.21,-54.4
1.58,5.36,268.82,39.33,-20.37,-53.85
1.49,5.11,268.87,39.29,-20.75,-53.05
1.6,4.9,268.92,39.38,-21.05,-52.55
1.49,4.75,268.97,39.45,-21.36,-52.05
1.4,4.66,269.02,39.55,-21.78,-51.61
1.39,4.64,269.06,39.4,-22.27,-51.17
1.29,4.65,269.13,39.48,-22.78,-50.63
1.24,4.61,269.24,39.27,-23.56,-49.72
1.23,4.58,269.36,39.1,-24,-49.03
1.39,4.55,269.53,38.9,-24.28,-48.3
2.15,4.59,269.74,37.66,-24.59,-47.68
2.51,4.58,269.79,36.7,-24.92,-47.19
2.71,4.64,269.98,36.8,-25.26,-46.42
2.74,4.78,270.15,36.45,-25.86,-45.82
2.73,4.94,270.31,36.12,-26.69,-44.77
2.45,5.06,270.51,36.2,-27.27,-43.9
2.28,5.17,270.75,36,-27.94,-43.04
2.05,5.32,271.02,35.72,-28.64,-42.21
1.83,5.5,271.26,35.62,-29.38,-41.35
1.47,5.76,271.5,35.56,-30.21,-40.51
1.2,6.08,271.7,35.4,-31.08,-39.67
0.93,6.46,271.92,34.99,-32.45,-38.56
0.77,6.87,272.14,34.61,-33.38,-37.88
0.57,7.32,272.3,34.34,-34.22,-37.17
0.34,7.72,272.46,34.19,-34.97,-36.41
0.11,8.15,272.61,33.88,-35.78,-35.66
0.03,8.58,272.82,33.46,-36.43,-35.07
-0.11,9.13,273.21,33.11,-37,-34.62
-0.37,9.72,273.55,32.67,-38.16,-33.77
-0.44,10.32,273.68,32.09,-38.93,-33.03
-0.01,10.86,273.72,31.01,-39.66,-32.41
0.02,11.43,273.86,30.37,-40.33,-31.73
-0.08,11.98,273.98,30.11,-41.14,-30.95
-0.36,12.51,274.12,29.77,-42.02,-30.16
-0.73,13.03,274.24,29.6,-42.81,-29.34
-1.2,13.57,274.35,29.52,-44.15,-27.98
-1.57,14.09,274.48,29.45,-45.04,-26.98
-1.87,14.67,274.63,28.79,-45.94,-25.98
-1.58,15.2,274.69,27.87,-46.55,-24.84
-1.75,15.69,274.79,27.97,-47.06,-23.47
-1.97,16.21,274.89,27.6,-47.97,-22.31
-2.2,16.74,275.06,27.17,-48.67,-21.13
-2.31,17.11,275.35,27.41,-49.68,-18.66
-2.73,17.54,275.75,27.05,-50.87,-17.17
-2.88,18.07,276.05,25.9,-52.1,-16.05
-2.81,18.78,276.34,24.99,-53.25,-15.03
-2.9,19.68,276.6,24.04,-54.43,-14.22
-2.76,20.64,276.79,23.01,-55.61,-13.43
-2.81,21.67,276.97,22.08,-56.83,-12.64
-2.84,22.67,277.16,20.39,-58.6,-11.43
-2.44,23.62,277.41,19.12,-59.46,-10.46
-2.44,24.39,277.68,18.5,-60.34,-9.23
-2.51,25.04,278.01,18,-61.27,-7.93
-2.5,25.78,278.29,17.11,-62.3,-6.75
-2.39,26.61,278.56,16.08,-63.31,-5.65
-2.25,27.48,278.92,14.61,-64.75,-4.11
-2.23,28.32,279.23,13.61,-65.75,-3.2
-1.97,29.23,279.5,12.69,-66.65,-2.37
-1.86,30.22,279.77,11.85,-67.58,-1.63
-1.65,31.24,280.03,10.9,-68.48,-1.04
-1.36,32.32,280.26,10.01,-69.3,-0.49
-1.18,33.4,280.46,9.32,-70.03,0.12
-1.01,34.43,280.63,8.5,-71.14,1.09
-0.85,35.46,280.85,8.02,-71.78,1.79
-0.75,36.42,281.09,7.6,-72.34,2.61
-0.82,37.31,281.33,7.1,-72.88,3.54
-0.7,38.19,281.54,6.42,-73.33,4.45
-0.66,39.07,281.75,5.46,-73.76,5.3
-0.66,39.96,281.94,4.3,-74.46,6.47
-0.51,40.86,282.11,3.41,-74.83,7.04
-0.44,41.82,282.25,2.54,-75.3,7.42
-0.29,42.84,282.35,1.75,-75.77,7.56
-0.22,43.97,282.41,1.19,-76.34,7.45
-0.15,45.2,282.37,1.09,-77,7.17
-0.24,46.52,282.3,1.23,-77.69,6.64
-0.25,47.93,282.16,1.73,-78.91,5.39
-0.4,49.34,282,2.3,-79.67,4.39
-0.26,50.9,281.84,2.28,-80.58,3.08
-0.36,52.45,281.63,2.89,-81.52,1.77
-0.49,53.98,281.35,3.51,-82.28,0.69
-0.89,55.28,281.09,4.07,-82.93,-0.52
-1.02,56.38,280.84,4.68,-83.7,-2.27
-1.05,57.41,280.69,4.8,-84.11,-3.61
-1.01,58.42,280.52,5.05,-84.35,-4.93
-1.08,59.31,280.38,5.3,-84.52,-6.26
